AF,Tissue,Background,Haplotype
0.4748095238095238,Frontal Cortex 2,genome-2,genome-2
0.4313923076923077,Frontal Cortex 2,genome-1,cluster 9
0.048826777777777775,Frontal Cortex 2,genome-1,genome-1-1
0.0556,Frontal Cortex 2,genome-1-1,cluster 1
0.4379,Frontal Cortex 2,genome-2,cluster 5
0.5062923076923077,Frontal Cortex 2,genome-1,genome-1
0.05616044444444444,Frontal Cortex 2,genome-1-1,cluster 14
0.14545,Frontal Cortex 2,cluster 9,cluster 13
0.0516,Frontal Cortex 2,genome-2,cluster 8
0.34955714285714284,Parietal Lobe,genome-2,genome-2
0.07936515789473685,Parietal Lobe,genome-1-1,cluster 14
0.59139,Parietal Lobe,genome-1,genome-1-1
0.0204,Parietal Lobe,genome-1-1,cluster 1
0.10375000000000001,Parietal Lobe,genome-2,cluster 5
0.15489999999999998,Parietal Lobe,genome-2,cluster 6
0.45868333333333333,Parietal Lobe,genome-1-1,cluster 4
0.6026730769230769,Parietal Lobe,genome-1,genome-1
0.0375648,Parietal Lobe,genome-1,cluster 9
0.0283,Parietal Lobe,cluster 9,cluster 13
0.029,Parietal Lobe,genome-2,cluster 8
0.0701,Parietal Lobe,genome-2,cluster 10
0.7807619047619048,Hippocampus,genome-2,genome-2
0.04701166666666667,Hippocampus,genome-1-1,cluster 14
0.18715,Hippocampus,genome-1,genome-1-1
0.44655,Hippocampus,genome-2,cluster 5
0.1407,Hippocampus,genome-2,cluster 6
0.0571,Hippocampus,genome-1-1,cluster 4
0.20472692307692308,Hippocampus,genome-1,genome-1
0.0239,Hippocampus,genome-1-1,cluster 12
0.02526925,Hippocampus,genome-1,cluster 9
0.0319,Hippocampus,genome-2,cluster 8
0.05023333333333333,Hippocampus,genome-2,cluster 10
0.910852380952381,Temporal Lobe,genome-2,genome-2
0.03057414285714286,Temporal Lobe,genome-1-1,cluster 14
0.08718,Temporal Lobe,genome-1,genome-1-1
0.0207,Temporal Lobe,genome-1-1,cluster 1
0.25815,Temporal Lobe,genome-2,cluster 5
0.0976576923076923,Temporal Lobe,genome-1,genome-1
0.0275,Temporal Lobe,genome-1,cluster 9
0.42144,Temporal Lobe,genome-2,cluster 7
0.0613,Temporal Lobe,genome-2,cluster 8
0.1041,Temporal Lobe,genome-2,cluster 10
0.046016666666666664,Midbrain,genome-1-1,cluster 11
0.26066666666666666,Midbrain,genome-2,genome-2
0.2029,Midbrain,genome-1-1,cluster 2
0.71135,Midbrain,genome-1,genome-1-1
0.27597272727272726,Midbrain,genome-1-1,cluster 1
0.7343346153846154,Midbrain,genome-1,genome-1
0.132,Midbrain,genome-1-1,cluster 12
0.0215026,Midbrain,genome-1-1,cluster 14
0.11887500000000001,Midbrain,cluster 9,cluster 13
0.1216,Midbrain,genome-1,cluster 9
0.2701,Midbrain,genome-2,cluster 8
0.06622,Midbrain,cluster 2,cluster 3
0.0237522,Midbrain,genome-2,cluster 7
0.0278,UBS,genome-1-1,cluster 11
0.21200476190476192,UBS,genome-2,genome-2
0.37470000000000003,UBS,genome-1-1,cluster 2
0.05522380952380952,UBS,genome-1-1,cluster 14
0.75559,UBS,genome-1,genome-1-1
0.08409090909090909,UBS,genome-1-1,cluster 1
0.0343,UBS,genome-1-1,cluster 4
0.7890923076923076,UBS,genome-1,genome-1
0.039266666666666665,UBS,genome-1,cluster 9
0.05408,UBS,genome-2,cluster 7
0.029533333333333335,UBS,genome-2,cluster 8
0.09883333333333333,UBS,genome-2,cluster 10
0.31266,UBS,cluster 2,cluster 3
0.0388,Cerebellum Nucleus,genome-1-1,cluster 11
0.3347428571428571,Cerebellum Nucleus,genome-2,genome-2
0.07445,Cerebellum Nucleus,genome-1-1,cluster 2
0.029621153846153846,Cerebellum Nucleus,genome-1-1,cluster 14
0.61817,Cerebellum Nucleus,genome-1,genome-1-1
0.2969636363636364,Cerebellum Nucleus,genome-1-1,cluster 1
0.05155,Cerebellum Nucleus,genome-2,cluster 5
0.04305,Cerebellum Nucleus,genome-2,cluster 6
0.6797846153846154,Cerebellum Nucleus,genome-1,genome-1
0.04994,Cerebellum Nucleus,genome-1-1,cluster 12
0.0644728,Cerebellum Nucleus,genome-1,cluster 9
0.048049999999999995,Cerebellum Nucleus,cluster 9,cluster 13
0.21,Cerebellum Nucleus,genome-2,cluster 8
0.0236,Cerebellum Nucleus,cluster 2,cluster 3
0.0233485,Cerebellum Nucleus,genome-1-1,cluster 4
0.5733238095238096,Internal Capsule,genome-2,genome-2
0.14505238095238096,Internal Capsule,genome-1-1,cluster 14
0.3674,Internal Capsule,genome-1,genome-1-1
0.23145,Internal Capsule,genome-2,cluster 5
0.06785,Internal Capsule,genome-2,cluster 6
0.12096849999999999,Internal Capsule,genome-1-1,cluster 4
0.4117153846153846,Internal Capsule,genome-1,genome-1
0.04037142857142857,Internal Capsule,genome-1,cluster 9
0.0213066,Internal Capsule,genome-2,cluster 7
0.0295,Internal Capsule,genome-2,cluster 8
0.03,Internal Capsule,genome-2,cluster 10
0.08563333333333334,Brain Stem,genome-1-1,cluster 11
0.09448095238095239,Brain Stem,genome-2,genome-2
0.13269999999999998,Brain Stem,genome-1-1,cluster 2
0.16508838095238096,Brain Stem,genome-1-1,cluster 14
0.8948569,Brain Stem,genome-1,genome-1-1
0.4002181818181818,Brain Stem,genome-1-1,cluster 1
0.9071961538461538,Brain Stem,genome-1,genome-1
0.02772933333333333,Brain Stem,genome-1,cluster 9
0.033350000000000005,Brain Stem,cluster 9,cluster 13
0.0282,Brain Stem,genome-2,cluster 8
0.022180666666666668,Brain Stem,genome-1-1,cluster 4
0.12168,Brain Stem,cluster 2,cluster 3
0.127698,Cerebellum,genome-1-1,cluster 11
0.1075,Cerebellum,genome-2,genome-2
0.0477,Cerebellum,genome-1-1,cluster 2
0.03252028571428572,Cerebellum,genome-1-1,cluster 14
0.85633,Cerebellum,genome-1,genome-1-1
0.47857777777777777,Cerebellum,genome-1-1,cluster 1
0.0375,Cerebellum,genome-2,cluster 6
0.879632,Cerebellum,genome-1,genome-1
0.07906,Cerebellum,genome-1-1,cluster 12
0.03135,Cerebellum,genome-1,cluster 9
0.04399575,Cerebellum,cluster 9,cluster 13
0.055900000000000005,Cerebellum,genome-2,cluster 8
0.8713047619047619,Occipital Lobe,genome-2,genome-2
0.0392,Occipital Lobe,genome-1-1,cluster 14
0.0704,Occipital Lobe,genome-1,genome-1-1
0.028,Occipital Lobe,genome-1-1,cluster 1
0.55105,Occipital Lobe,genome-2,cluster 5
0.09371538461538462,Occipital Lobe,genome-1,genome-1
0.0272,Occipital Lobe,genome-1-1,cluster 12
0.031082000000000002,Occipital Lobe,genome-1,cluster 9
0.22312,Occipital Lobe,genome-2,cluster 7
0.0213,Occipital Lobe,genome-2,cluster 8
0.3747619047619048,Frontal Cortex 1,genome-2,genome-2
0.11760000000000001,Frontal Cortex 1,genome-1-1,cluster 2
0.6045516,Frontal Cortex 1,genome-1,genome-1-1
0.3352,Frontal Cortex 1,genome-2,cluster 6
