AF,Tissue,Background,Haplotype
0.6452269230769231,Frontal Cortex 1,genome-1,genome-1
0.038533333333333336,Frontal Cortex 1,genome-1-1,cluster 14
0.034375,Frontal Cortex 1,genome-1,cluster 9
0.0376,Frontal Cortex 1,cluster 9,cluster 13
0.0317,Frontal Cortex 1,genome-2,cluster 8
0.0538,Frontal Cortex 1,cluster 2,cluster 3
0.37611904761904763,Frontal Cortex 3,genome-2,genome-2
0.1152,Frontal Cortex 3,genome-1-1,cluster 2
0.58695,Frontal Cortex 3,genome-1,genome-1-1
0.34935000000000005,Frontal Cortex 3,genome-2,cluster 6
0.6309653846153847,Frontal Cortex 3,genome-1,genome-1
0.03823357142857143,Frontal Cortex 3,genome-1-1,cluster 14
0.03392,Frontal Cortex 3,genome-1,cluster 9
0.0365,Frontal Cortex 3,cluster 9,cluster 13
0.0263,Frontal Cortex 3,genome-2,cluster 8
0.05295,Frontal Cortex 3,cluster 2,cluster 3
0.02042,Internal Capsule,cluster 9,cluster 13
0.020145,Brain Stem,genome-2,cluster 7
0.02019,Cerebellum,genome-2,cluster 5
0.026681,Cerebellum,cluster 2,cluster 3
